http://www.fabogo.com/mumbai/nail-spa-experience-khar?fabtrack=body+venue-image,http://d187hsnmfgmmaz.cloudfront.net/images/45075/medium/Nailspa.JPG,Nail Spa Experience,Khar,02265324444,,http://d187hsnmfgmmaz.cloudfront.net/images/50764/base/nail%20spa%201.jpg| http://d187hsnmfgmmaz.cloudfront.net/images/50765/base/nail%20spa%202.jpg| http://d187hsnmfgmmaz.cloudfront.net/images/50766/base/nail%20spa%203.jpg| http://d187hsnmfgmmaz.cloudfront.net/images/50767/base/nail%20spa%204.jpg| ,"SUN  11:00 am -
07:00 pm | MON  11:00 am -
07:00 pm | TUE  11:00 am -
07:00 pm | WED  11:00 am -
07:00 pm | THU  11:00 am -
07:00 pm | FRI  11:00 am -
07:00 pm | SAT  11:00 am -
07:00 pm | "
http://www.fabogo.com/mumbai/massa-suite-juhu?fabtrack=body+venue-image,http://d187hsnmfgmmaz.cloudfront.net/images/47738/medium/arjun-rathi-massa-suite-the-luxury-spa-juhu-2.jpg,Massa Suite ,Juhu,"02245200448, 9967556491",,http://d187hsnmfgmmaz.cloudfront.net/images/42842/base/massa%201.JPG| http://d187hsnmfgmmaz.cloudfront.net/images/42843/base/massa%202.JPG| http://d187hsnmfgmmaz.cloudfront.net/images/42844/base/Massa%203.JPG| http://d187hsnmfgmmaz.cloudfront.net/images/42845/base/massa%204.JPG| ,"SUN  11:00 am -
09:00 pm | MON  11:00 am -
09:00 pm | TUE  11:00 am -
09:00 pm | WED  11:00 am -
09:00 pm | THU  11:00 am -
09:00 pm | FRI  11:00 am -
09:00 pm | SAT  11:00 am -
09:00 pm | "
http://www.fabogo.com/mumbai/tip-toe-the-nail-club-malad-west-1?fabtrack=body+venue-image,http://d187hsnmfgmmaz.cloudfront.net/images/44560/medium/1.JPG,Tip & Toe The Nail Club,Malad West,+918286038439,,http://d187hsnmfgmmaz.cloudfront.net/images/50454/base/tip%20and%20toe%20-%20EDITED.JPG| http://d187hsnmfgmmaz.cloudfront.net/images/47331/base/Tip%20%26%20Toe%20Brocher-page-007%20-%20EDITED.jpg| http://d187hsnmfgmmaz.cloudfront.net/images/47332/base/Tip%20%26%20Toe%20Brocher-page-009%20-%20EDITED.jpg| http://d187hsnmfgmmaz.cloudfront.net/images/47333/base/Tip%20%26%20Toe%20Brocher-page-011%20-%20EDITED.jpg| ,"SUN  11:00 am -
09:30 pm | MON  11:00 am -
09:30 pm | TUE  11:00 am -
09:30 pm | WED  11:00 am -
09:30 pm | THU  11:00 am -
09:30 pm | FRI  11:00 am -
09:30 pm | SAT  11:00 am -
09:30 pm | "
http://www.fabogo.com/mumbai/krystal-salon-khar?fabtrack=body+venue-image,http://d187hsnmfgmmaz.cloudfront.net/images/47485/medium/DSCN0352.JPG,Krystal Salon,Khar,+918286316191,,,"SUN  10:00 am -
09:00 pm | MON  10:00 am -
09:00 pm | TUE  10:00 am -
09:00 pm | WED  10:00 am -
09:00 pm | THU  10:00 am -
09:00 pm | FRI  10:00 am -
09:00 pm | SAT  10:00 am -
09:00 pm | "
http://www.fabogo.com/mumbai/lakme-salon-colaba?fabtrack=body+venue-image,http://d187hsnmfgmmaz.cloudfront.net/images/49694/medium/lakme%201%20_%20EDITED.jpg,Lakme Salon ,Colaba,"9867670607, 02266315277, 02222181747",,,"SUN  10:00 am -
09:00 pm | MON  10:00 am -
09:00 pm | TUE  10:00 am -
09:00 pm | WED  10:00 am -
09:00 pm | THU  10:00 am -
09:00 pm | FRI  10:00 am -
09:00 pm | SAT  10:00 am -
09:00 pm | "
http://www.fabogo.com/mumbai/yasmin-of-nalini-yasmin-andheri-lokhandwala-andheri-west?fabtrack=body+venue-image,http://d187hsnmfgmmaz.cloudfront.net/images/52690/medium/DSCN0641%20-%20EDITED.jpg,Yasmin of Nalini & Yasmin,"Andheri Lokhandwala, Andheri West",+918286312392,,http://d187hsnmfgmmaz.cloudfront.net/images/52024/base/menu%20-%20EDITED.jpg| ,"SUN  10:00 am -
08:00 pm | MON  10:00 am -
08:00 pm | TUE  10:00 am -
08:00 pm | WED  10:00 am -
08:00 pm | THU  10:00 am -
08:00 pm | FRI  10:00 am -
08:00 pm | SAT  10:00 am -
08:00 pm | "
http://www.fabogo.com/mumbai/sohum-spa-juhu?fabtrack=body+venue-image,http://d187hsnmfgmmaz.cloudfront.net/images/47766/medium/448579058500790_1_1400651951.jpg,Sohum Spa,Juhu,"02265618225, 02261396000",,,"SUN  10:00 am -
10:00 pm | MON  10:00 am -
10:00 pm | TUE  10:00 am -
10:00 pm | WED  10:00 am -
10:00 pm | THU  10:00 am -
10:00 pm | FRI  10:00 am -
10:00 pm | SAT  10:00 am -
10:00 pm | "
http://www.fabogo.com/mumbai/sabai-spa-juhu?fabtrack=body+venue-image,http://d187hsnmfgmmaz.cloudfront.net/images/39509/medium/thumb-img-3945-1024.jpg,Sabai Spa,Juhu,02226135888,,http://d187hsnmfgmmaz.cloudfront.net/images/39147/base/img-20160615-0023.jpg| ,"SUN  11:00 am -
11:00 pm | MON  11:00 am -
11:00 pm | TUE  11:00 am -
11:00 pm | WED  11:00 am -
11:00 pm | THU  11:00 am -
11:00 pm | FRI  11:00 am -
11:00 pm | SAT  11:00 am -
11:00 pm | "
http://www.fabogo.com/mumbai/uday-takke-s-khar?fabtrack=body+venue-image,http://d187hsnmfgmmaz.cloudfront.net/images/43279/medium/IMG_4023.JPG,Uday Takke's,Khar,02226497313,,http://d187hsnmfgmmaz.cloudfront.net/images/54381/base/1.jpg| http://d187hsnmfgmmaz.cloudfront.net/images/54382/base/2.jpg| http://d187hsnmfgmmaz.cloudfront.net/images/54383/base/3.jpg| http://d187hsnmfgmmaz.cloudfront.net/images/54384/base/4.jpg| ,"SUN  09:00 am -
09:30 pm | MON CLOSED| TUE  09:00 am -
09:30 pm | WED  09:00 am -
09:30 pm | THU  09:00 am -
09:30 pm | FRI  09:00 am -
09:30 pm | SAT  09:00 am -
09:30 pm | "
http://www.fabogo.com/mumbai/the-palms-spa-colaba?fabtrack=body+venue-image,http://d187hsnmfgmmaz.cloudfront.net/images/49786/medium/the%20palm%20spa%201%20_%20EDITED.jpg,The Palms Spa,Colaba,"02266349898, 02266349922",,http://d187hsnmfgmmaz.cloudfront.net/images/54530/base/1%20-%20EDITED.jpg| http://d187hsnmfgmmaz.cloudfront.net/images/54531/base/2%20-%20EDITED.jpg| http://d187hsnmfgmmaz.cloudfront.net/images/54532/base/3%20-%20EDITED.jpg| http://d187hsnmfgmmaz.cloudfront.net/images/54533/base/4%20-%20EDITED.jpg| ,"SUN  10:00 am -
10:00 pm | MON  10:00 am -
10:00 pm | TUE  10:00 am -
10:00 pm | WED  10:00 am -
10:00 pm | THU  10:00 am -
10:00 pm | FRI  10:00 am -
10:00 pm | SAT  10:00 am -
10:00 pm | "
